class1,receptor1_name_short,receptor1_name,receptor1_entry_name,class2,receptor2_name_short,receptor2_name,receptor2_entry_name,identity,similarity
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&alpha;<sub>2B</sub>,&alpha;<sub>2B</sub>-adrenoceptor,ada2b_human,37,59
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&alpha;<sub>2C</sub>,&alpha;<sub>2C</sub>-adrenoceptor,ada2c_human,41,60
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&beta;<sub>1</sub>,&beta;<sub>1</sub>-adrenoceptor,adrb1_human,39,56
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&beta;<sub>2</sub>,&beta;<sub>2</sub>-adrenoceptor,adrb2_human,37,57
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&beta;<sub>3</sub>,&beta;<sub>3</sub>-adrenoceptor,adrb3_human,36,56
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),D<sub>1</sub>,D<sub>1</sub> receptor,drd1_human,40,59
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),D<sub>2</sub>,D<sub>2</sub> receptor,drd2_human,38,60
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),D<sub>3</sub>,D<sub>3</sub> receptor,drd3_human,38,57
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),D<sub>4</sub>,D<sub>4</sub> receptor,drd4_human,37,54
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),D<sub>5</sub>,D<sub>5</sub> receptor,drd5_human,40,58
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),H<sub>1</sub>,H<sub>1</sub> receptor,hrh1_human,36,54
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),H<sub>2</sub>,H<sub>2</sub> receptor,hrh2_human,37,58
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),H<sub>3</sub>,H<sub>3</sub> receptor,hrh3_human,28,50
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),H<sub>4</sub>,H<sub>4</sub> receptor,hrh4_human,26,52
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),TA<sub>1</sub>,TA<sub>1</sub> receptor,taar1_human,30,52
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),AT<sub>1</sub>,AT<sub>1</sub> receptor,agtr1_human,22,37
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),AT<sub>2</sub>,AT<sub>2</sub> receptor,agtr2_human,21,36
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),apelin,apelin receptor,apj_human,22,38
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),BB<sub>1</sub>,BB<sub>1</sub> receptor,nmbr_human,20,38
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),BB<sub>2</sub>,BB<sub>2</sub> receptor,grpr_human,21,40
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),BB<sub>3</sub>,BB<sub>3</sub> receptor,brs3_human,20,40
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),B<sub>1</sub>,B<sub>1</sub> receptor,bkrb1_human,21,37
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),B<sub>2</sub>,B<sub>2</sub> receptor,bkrb2_human,24,40
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),CCK<sub>1</sub>,CCK<sub>1</sub> receptor,cckar_human,24,41
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),CCK<sub>2</sub>,CCK<sub>2</sub> receptor,gasr_human,26,45
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),C3a,C3a receptor,c3ar_human,20,37
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),C5a<sub>1</sub>,C5a<sub>1</sub> receptor,c5ar1_human,21,36
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),C5a<sub>2</sub>,C5a<sub>2</sub> receptor,c5ar2_human,18,32
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),ET<sub>A</sub>,ET<sub>A</sub> receptor,ednra_human,21,39
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,67,51
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,71,83
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>1E</sub>,5-HT<sub>1E</sub> receptor,5ht1e_human,59,74
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>1F</sub>,5-HT<sub>1F</sub> receptor,5ht1f_human,58,73
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>2A</sub>,5-HT<sub>2A</sub> receptor,5ht2a_human,32,51
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>2B</sub>,5-HT<sub>2B</sub> receptor,5ht2b_human,32,53
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>2C</sub>,5-HT<sub>2C</sub> receptor,5ht2c_human,33,53
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>4</sub>,5-HT<sub>4</sub> receptor,5ht4r_human,39,53
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>5A</sub>,5-HT<sub>5A</sub> receptor,5ht5a_human,40,60
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>6</sub>,5-HT<sub>6</sub> receptor,5ht6r_human,33,54
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),5-HT<sub>7</sub>,5-HT<sub>7</sub> receptor,5ht7r_human,43,59
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),M<sub>1</sub>,M<sub>1</sub> receptor,acm1_human,34,53
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),M<sub>2</sub>,M<sub>2</sub> receptor,acm2_human,35,54
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),M<sub>3</sub>,M<sub>3</sub> receptor,acm3_human,35,54
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),M<sub>4</sub>,M<sub>4</sub> receptor,acm4_human,35,54
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),M<sub>5</sub>,M<sub>5</sub> receptor,acm5_human,36,54
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&alpha;<sub>1A</sub>,&alpha;<sub>1A</sub>-adrenoceptor,ada1a_human,38,60
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&alpha;<sub>1B</sub>,&alpha;<sub>1B</sub>-adrenoceptor,ada1b_human,39,59
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&alpha;<sub>1D</sub>,&alpha;<sub>1D</sub>-adrenoceptor,ada1d_human,39,58
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&alpha;<sub>2A</sub>,&alpha;<sub>2A</sub>-adrenoceptor,ada2a_human,41,58
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&alpha;<sub>2B</sub>,&alpha;<sub>2B</sub>-adrenoceptor,ada2b_human,38,60
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&alpha;<sub>2C</sub>,&alpha;<sub>2C</sub>-adrenoceptor,ada2c_human,39,59
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&beta;<sub>1</sub>,&beta;<sub>1</sub>-adrenoceptor,adrb1_human,41,57
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&beta;<sub>2</sub>,&beta;<sub>2</sub>-adrenoceptor,adrb2_human,37,57
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),&beta;<sub>3</sub>,&beta;<sub>3</sub>-adrenoceptor,adrb3_human,37,55
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),D<sub>1</sub>,D<sub>1</sub> receptor,drd1_human,40,56
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),D<sub>2</sub>,D<sub>2</sub> receptor,drd2_human,40,59
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),D<sub>3</sub>,D<sub>3</sub> receptor,drd3_human,39,58
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),D<sub>4</sub>,D<sub>4</sub> receptor,drd4_human,32,54
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),D<sub>5</sub>,D<sub>5</sub> receptor,drd5_human,39,56
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),H<sub>1</sub>,H<sub>1</sub> receptor,hrh1_human,37,55
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),H<sub>2</sub>,H<sub>2</sub> receptor,hrh2_human,36,56
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),H<sub>3</sub>,H<sub>3</sub> receptor,hrh3_human,29,52
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),H<sub>4</sub>,H<sub>4</sub> receptor,hrh4_human,27,49
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),TA<sub>1</sub>,TA<sub>1</sub> receptor,taar1_human,34,53
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),AT<sub>1</sub>,AT<sub>1</sub> receptor,agtr1_human,22,40
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),AT<sub>2</sub>,AT<sub>2</sub> receptor,agtr2_human,20,37
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),apelin,apelin receptor,apj_human,23,40
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),BB<sub>1</sub>,BB<sub>1</sub> receptor,nmbr_human,20,37
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),BB<sub>2</sub>,BB<sub>2</sub> receptor,grpr_human,20,38
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),BB<sub>3</sub>,BB<sub>3</sub> receptor,brs3_human,20,39
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),B<sub>1</sub>,B<sub>1</sub> receptor,bkrb1_human,19,34
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),B<sub>2</sub>,B<sub>2</sub> receptor,bkrb2_human,20,42
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),CCK<sub>1</sub>,CCK<sub>1</sub> receptor,cckar_human,24,42
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),CCK<sub>2</sub>,CCK<sub>2</sub> receptor,gasr_human,24,44
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),C3a,C3a receptor,c3ar_human,20,37
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),C5a<sub>1</sub>,C5a<sub>1</sub> receptor,c5ar1_human,22,35
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),C5a<sub>2</sub>,C5a<sub>2</sub> receptor,c5ar2_human,19,32
A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,A (Rhodopsin),ET<sub>A</sub>,ET<sub>A</sub> receptor,ednra_human,20,39
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,67,49
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,83,71
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>1E</sub>,5-HT<sub>1E</sub> receptor,5ht1e_human,58,73
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>1F</sub>,5-HT<sub>1F</sub> receptor,5ht1f_human,59,74
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>2A</sub>,5-HT<sub>2A</sub> receptor,5ht2a_human,33,55
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>2B</sub>,5-HT<sub>2B</sub> receptor,5ht2b_human,32,56
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>2C</sub>,5-HT<sub>2C</sub> receptor,5ht2c_human,34,56
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>4</sub>,5-HT<sub>4</sub> receptor,5ht4r_human,37,51
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>5A</sub>,5-HT<sub>5A</sub> receptor,5ht5a_human,38,61
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>6</sub>,5-HT<sub>6</sub> receptor,5ht6r_human,34,55
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),5-HT<sub>7</sub>,5-HT<sub>7</sub> receptor,5ht7r_human,41,59
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),M<sub>1</sub>,M<sub>1</sub> receptor,acm1_human,32,52
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),M<sub>2</sub>,M<sub>2</sub> receptor,acm2_human,31,54
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),M<sub>3</sub>,M<sub>3</sub> receptor,acm3_human,32,53
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),M<sub>4</sub>,M<sub>4</sub> receptor,acm4_human,34,53
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),M<sub>5</sub>,M<sub>5</sub> receptor,acm5_human,35,53
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&alpha;<sub>1A</sub>,&alpha;<sub>1A</sub>-adrenoceptor,ada1a_human,38,59
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&alpha;<sub>1B</sub>,&alpha;<sub>1B</sub>-adrenoceptor,ada1b_human,40,59
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&alpha;<sub>1D</sub>,&alpha;<sub>1D</sub>-adrenoceptor,ada1d_human,35,59
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&alpha;<sub>2A</sub>,&alpha;<sub>2A</sub>-adrenoceptor,ada2a_human,41,62
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&alpha;<sub>2B</sub>,&alpha;<sub>2B</sub>-adrenoceptor,ada2b_human,39,63
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&alpha;<sub>2C</sub>,&alpha;<sub>2C</sub>-adrenoceptor,ada2c_human,41,62
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&beta;<sub>1</sub>,&beta;<sub>1</sub>-adrenoceptor,adrb1_human,39,57
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&beta;<sub>2</sub>,&beta;<sub>2</sub>-adrenoceptor,adrb2_human,37,57
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),&beta;<sub>3</sub>,&beta;<sub>3</sub>-adrenoceptor,adrb3_human,33,54
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),D<sub>1</sub>,D<sub>1</sub> receptor,drd1_human,39,58
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),D<sub>2</sub>,D<sub>2</sub> receptor,drd2_human,40,61
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),D<sub>3</sub>,D<sub>3</sub> receptor,drd3_human,40,58
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),D<sub>4</sub>,D<sub>4</sub> receptor,drd4_human,34,56
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),D<sub>5</sub>,D<sub>5</sub> receptor,drd5_human,37,56
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),H<sub>1</sub>,H<sub>1</sub> receptor,hrh1_human,37,55
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),H<sub>2</sub>,H<sub>2</sub> receptor,hrh2_human,37,56
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),H<sub>3</sub>,H<sub>3</sub> receptor,hrh3_human,27,50
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),H<sub>4</sub>,H<sub>4</sub> receptor,hrh4_human,26,52
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),TA<sub>1</sub>,TA<sub>1</sub> receptor,taar1_human,36,56
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),AT<sub>1</sub>,AT<sub>1</sub> receptor,agtr1_human,22,40
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),AT<sub>2</sub>,AT<sub>2</sub> receptor,agtr2_human,21,39
A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,A (Rhodopsin),apelin,apelin receptor,apj_human,21,40
