receptor	isoform_id	number_of_transcripts	transcripts	topological_annotation	number_of_tissues	tissues	varying_segments	functional_annotation	reference (PMID)	ProteomicsDBID	ProteomicsDBlink
AA2AR	1	1	ENST00000444262	preserved	16	Testis, Brain, Prostate, Pituitary, Skin, Nerve, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Heart, Vagina, Liver, Kidney	N-term, C-term	0	0	0	0
AA2AR	2	1	ENST00000486108	truncated	21	Testis, Brain, Prostate, Pituitary, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Spleen, Liver, Kidney	N-term, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AA2AR	3	1	ENST00000424232	truncated	9	Testis, Nerve, Small Intestine, Adipose Tissue, Colon, Lung, Spleen, Liver, Kidney	N-term, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AA2AR	4	1	ENST00000496258	truncated	6	Nerve, Small Intestine, Thyroid, Lung, Blood, Spleen	N-term, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AA2AR	5	1	ENST00000439591	truncated	3	Nerve, Colon, Liver	N-term, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AA2AR	6	1	ENST00000436735	truncated	2	Blood, Liver	N-term, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACKR1	1	1	ENST00000368121	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
ACKR1	2	1	ENST00000435307	truncated	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Ovary, Kidney, Cervix Uteri	N-term, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACKR2	1	1	ENST00000493193	truncated	4	Nerve, Adipose Tissue, Blood Vessel, Liver	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACKR2	2	1	ENST00000494619	truncated	13	Breast, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Fallopian Tube, Heart, Liver	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACKR2	3	1	ENST00000492609	truncated	16	Breast, Muscle, Skin, Nerve, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Uterus, Vagina, Bladder, Liver, Ovary	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACKR2	4	1	ENST00000497921	truncated	1	Esophagus	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACKR3	1	1	ENST00000447924	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACM1	1	1	ENST00000536524	truncated	2	Skin, Lung	ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACM3	1	1	ENST00000448020	truncated	9	Pituitary, Skin, Thyroid, Colon, Salivary Gland, Esophagus, Blood Vessel, Stomach, Ovary	TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ACTHR	1	1	ENST00000399821	truncated	4	Testis, Pituitary, Adrenal Gland, Blood Vessel	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
ADA1A	1	1	ENST00000380586	preserved	10	Breast, Prostate, Adipose Tissue, Lung, Esophagus, Blood Vessel, Uterus, Heart, Spleen, Liver	C-term	Altered signalling properties / Altered internalisation	0	0	0
ADA1A	2	1	ENST00000354550	preserved	6	Breast, Prostate, Adipose Tissue, Lung, Spleen, Liver	C-term	Altered signalling properties / Altered internalisation	0	0	0
ADA1A	3	1	ENST00000380582	preserved	13	Breast, Brain, Prostate, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Spleen, Liver	C-term	Altered signalling properties / Altered internalisation	0	0	0
ADA1A	4	1	ENST00000519229	preserved	17	Breast, Brain, Prostate, Skin, Small Intestine, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Vagina, Spleen, Liver, Ovary	C-term	Altered signalling properties / Altered internalisation	0	0	0
ADA1A	5	1	ENST00000380587	truncated	3	Breast, Adipose Tissue, Liver	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	10493934	0	0
ADA1A	6	1	ENST00000358857	truncated	2	Liver, Ovary	TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	0	0	0
ADA2C	1	1	ENST00000509482	truncated	20	Breast, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Vagina, Spleen, Ovary, Kidney, Cervix Uteri	ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AGRA1	1	1	ENST00000392606	truncated	7	Testis, Brain, Pituitary, Adrenal Gland, Lung, Fallopian Tube, Spleen	N-term, TM1, ICL1, TM2, ECL1, TM3	0	0	0	0
AGRA2	1	1	ENST00000315215	preserved	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
AGRB2	1	1	ENST00000373655	preserved	10	Breast, Testis, Brain, Prostate, Pituitary, Nerve, Adrenal Gland, Thyroid, Blood Vessel, Heart	C-term	Altered signalling properties / Altered internalisation	0	0	0
AGRB2	2	1	ENST00000398538	preserved	22	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Ovary	N-term, C-term	0	0	0	0
AGRB2	4	1	ENST00000398556	truncated	5	Brain, Prostate, Colon, Esophagus, Stomach	N-term, ICL3, TM6	0	0	0	0
AGRB2	5	1	ENST00000398547	preserved	15	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Stomach, Heart	N-term, C-term	0	0	0	0
AGRB2	6	1	ENST00000398542	truncated	20	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Vagina, Cervix Uteri	N-term, ICL3, TM6, C-term	0	0	0	0
AGRB3	1	1	ENST00000238918	preserved	21	Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Vagina, Bladder, Spleen, Ovary, Kidney	N-term	Altered ligand binding / efficacy	0	0	0
AGRB3	2	1	ENST00000546190	truncated	25	Breast, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Ovary, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5	0	0	0	0
AGRB3	3	1	ENST00000603207	truncated	7	Breast, Brain, Pituitary, Nerve, Lung, Esophagus, Blood Vessel	N-term, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AGRB3	4	1	ENST00000604969	truncated	7	Brain, Pituitary, Nerve, Adrenal Gland, Colon, Lung, Blood Vessel	N-term, TM1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
AGRD1	1	1	ENST00000535015	preserved	28	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
AGRD1	2	1	ENST00000376682	preserved	8	Muscle, Testis, Nerve, Lung, Blood, Stomach, Heart, Liver	N-term	Altered ligand binding / efficacy	0	0	0
AGRD1	3	1	ENST00000543617	preserved	11	Breast, Testis, Skin, Nerve, Adipose Tissue, Thyroid, Lung, Esophagus, Blood Vessel, Stomach, Liver	N-term	Altered ligand binding / efficacy	0	0	0
AGRD1	4	1	ENST00000335486	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5	0	0	0	0
AGRE1	1	1	ENST00000381404	truncated	3	Lung, Blood, Spleen	N-term, TM5	0	0	0	0
AGRE1	2	1	ENST00000250572	truncated	13	Breast, Testis, Prostate, Pituitary, Small Intestine, Adipose Tissue, Colon, Lung, Blood Vessel, Blood, Stomach, Spleen, Liver	TM1, ICL1, TM2, ECL1	0	0	0	0
AGRE1	3	1	ENST00000381407	preserved	6	Testis, Small Intestine, Lung, Blood, Spleen, Liver	N-term	Altered ligand binding / efficacy	0	0	0
AGRE1	4	1	ENST00000450315	preserved	6	Testis, Adipose Tissue, Lung, Blood, Spleen, Liver	N-term	Altered ligand binding / efficacy	0	0	0
AGRE2	1	1	ENST00000601345	preserved	2	Blood, Spleen	N-term, C-term	0	0	0	0
AGRE2	4	1	ENST00000392965	truncated	9	Breast, Prostate, Skin, Adipose Tissue, Thyroid, Lung, Blood, Spleen, Kidney	N-term, TM1	0	0	0	0
AGRE3	1	1	ENST00000344373	preserved	2	Lung, Blood	N-term	Altered ligand binding / efficacy	0	0	0
AGRE3	2	1	ENST00000443157	preserved	8	Skin, Adipose Tissue, Lung, Salivary Gland, Esophagus, Blood, Heart, Spleen	N-term	Altered ligand binding / efficacy	0	0	0
AGRF5	1	1	ENST00000456426	preserved	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
AGRG1	2	1	ENST00000379694	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	1	1	ENST00000357991	preserved	25	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	2	1	ENST00000356606	preserved	25	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	3	1	ENST00000379878	preserved	6	Testis, Prostate, Nerve, Lung, Esophagus, Blood Vessel	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	4	1	ENST00000360279	preserved	9	Prostate, Nerve, Small Intestine, Adipose Tissue, Thyroid, Lung, Esophagus, Blood Vessel, Stomach	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	5	1	ENST00000379876	preserved	12	Breast, Prostate, Skin, Nerve, Adipose Tissue, Lung, Salivary Gland, Esophagus, Blood Vessel, Stomach, Vagina, Liver	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	6	1	ENST00000357544	preserved	19	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Vagina, Spleen, Liver	N-term	Altered ligand binding / efficacy	0	0	0
AGRG2	7	1	ENST00000379873	preserved	16	Breast, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Vagina, Kidney	C-term	Altered signalling properties / Altered internalisation	0	Q8IZP9-9	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/Q8IZP9-9/summary
AGRG4	1	1	ENST00000412101	preserved	10	Testis, Prostate, Lung, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Vagina, Ovary	N-term	Altered ligand binding / efficacy	0	0	0
AGRG6	1	1	ENST00000367609	preserved	20	Breast, Testis, Prostate, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Vagina, Bladder, Spleen, Liver	C-term	Altered signalling properties / Altered internalisation	0	0	0
AGRG6	2	1	ENST00000367608	preserved	24	Breast, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Spleen, Liver, Ovary, Kidney	N-term, C-term	0	0	0	0
AGRG6	3	1	ENST00000296932	preserved	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
AGRL1	1	1	ENST00000361434	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	O94910-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/O94910-2/summary
AGRL2	1	1	ENST00000370717	truncated	1	Brain	TM6	0	0	0	0
AGRL2	2	1	ENST00000394879	truncated	8	Testis, Brain, Prostate, Pituitary, Skin, Thyroid, Salivary Gland, Stomach	N-term, TM6	0	0	0	0
AGRL2	5	1	ENST00000370721	preserved	1	Brain	N-term	Altered ligand binding / efficacy	0	0	0
AGRL2	6	1	ENST00000370715	preserved	18	Breast, Testis, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Fallopian Tube, Uterus, Heart, Liver, Ovary	N-term, C-term	0	0	0	0
AGRL2	7	1	ENST00000370713	preserved	17	Breast, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Vagina, Liver, Ovary	N-term, C-term	0	0	0	0
C3AR	1	1	ENST00000546241	truncated	12	Testis, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Blood, Ovary	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CASR	1	1	ENST00000498619	preserved	9	Pituitary, Thyroid, Pancreas, Blood, Stomach, Bladder, Spleen, Ovary, Kidney	N-term	Altered ligand binding / efficacy	0	0	0
CCR10	1	1	ENST00000591765	truncated	29	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Ovary, Kidney, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5	0	0	0	0
CCR10	2	1	ENST00000591568	truncated	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term, TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, TM7, H8, C-term	0	0	0	0
CCR2	1	1	ENST00000445132	preserved	26	Breast, Prostate, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	H8, C-term	Change in membrane trafficking	8995400	P41597-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/P41597-2/summary
CCR2	2	1	ENST00000421659	truncated	1	Blood	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CCR3	1	1	ENST00000545097	preserved	1	Blood	N-term	Altered ligand binding / efficacy	0	0	0
CCR7	1	1	ENST00000579344	preserved	9	Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Blood Vessel, Blood	N-term	Altered ligand binding / efficacy	0	0	0
CCR8	1	1	ENST00000545843	truncated	2	Lung, Blood	N-term, TM1, ICL1, TM2	0	0	0	0
CCR9	1	1	ENST00000395963	preserved	5	Nerve, Small Intestine, Adipose Tissue, Colon, Spleen	N-term	Altered ligand binding / efficacy	10640743	0	0
CCRL2	1	1	ENST00000357392	preserved	23	Breast, Muscle, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Uterus, Heart, Vagina, Spleen, Ovary, Kidney	N-term	Altered ligand binding / efficacy	0	O00421-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/O00421-2/summary
CCRL2	2	1	ENST00000433848	truncated	10	Breast, Muscle, Nerve, Adipose Tissue, Thyroid, Lung, Pancreas, Esophagus, Blood Vessel, Blood	TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CD97	1	1	ENST00000357355	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
CD97	2	1	ENST00000358600	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
CELR3	1	1	ENST00000544264	preserved	3	Brain, Pituitary, Adrenal Gland	N-term	Altered ligand binding / efficacy	0	0	0
CML1	2	1	ENST00000550573	truncated	1	Blood	ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CML1	3	1	ENST00000549466	truncated	6	Muscle, Pituitary, Skin, Adipose Tissue, Blood, Spleen	ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CNR1	1	1	ENST00000468898	preserved	13	Breast, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Lung, Esophagus, Blood Vessel, Blood, Stomach, Vagina, Ovary	N-term	Altered ligand binding / efficacy	15620723	0	0
CNR1	2	1	ENST00000549716	preserved	15	Breast, Muscle, Testis, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Esophagus, Blood Vessel, Blood	N-term	Altered ligand binding / efficacy	15620723	0	0
CRFR1	1	1	ENST00000398285	preserved	6	Breast, Brain, Prostate, Pituitary, Skin, Vagina	TM1	Altered internalisation	16956982	0	0
CRFR1	2	1	ENST00000352855	preserved	4	Brain, Pituitary, Uterus, Cervix Uteri	N-term	Altered ligand binding / efficacy	0	0	0
CX3C1	1	1	ENST00000358309	preserved	19	Breast, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Pancreas, Esophagus, Blood Vessel, Blood, Uterus, Heart, Bladder, Spleen	N-term	Altered ligand binding / efficacy	14607932	0	0
CXCR2	1	1	ENST00000453237	truncated	5	Skin, Adipose Tissue, Lung, Blood, Spleen	ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CXCR2	2	1	ENST00000428565	truncated	12	Breast, Skin, Adipose Tissue, Lung, Salivary Gland, Esophagus, Blood Vessel, Blood, Stomach, Vagina, Spleen, Cervix Uteri	TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CXCR2	3	1	ENST00000415392	truncated	5	Skin, Adipose Tissue, Lung, Blood, Spleen	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CXCR2	4	1	ENST00000454148	truncated	6	Adipose Tissue, Lung, Esophagus, Blood, Vagina, Spleen	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
CXCR3	1	1	ENST00000373691	preserved	11	Prostate, Small Intestine, Adipose Tissue, Thyroid, Lung, Esophagus, Blood Vessel, Blood, Stomach, Vagina, Spleen	N-term	Altered ligand binding / efficacy	27512119	0	0
CXCR4	1	1	ENST00000409817	preserved	30	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adrenal Gland, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Blood, Stomach, Fallopian Tube, Uterus, Heart, Vagina, Bladder, Spleen, Liver, Ovary, Kidney, Cervix Uteri	N-term	Altered ligand binding / efficacy	25230750	P61073-2	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/P61073-2/summary
DRD2	2	1	ENST00000544518	truncated	18	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Adipose Tissue, Thyroid, Salivary Gland, Esophagus, Blood Vessel, Fallopian Tube, Uterus, Vagina, Kidney	TM2	0	0	0	0
DRD2	3	1	ENST00000346454	preserved	19	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Adrenal Gland, Thyroid, Lung, Salivary Gland, Esophagus, Blood Vessel, Fallopian Tube, Uterus, Vagina, Ovary, Kidney	ICL3	Altered signalling properties	12651945	0	0
DRD2	4	1	ENST00000543292	truncated	8	Breast, Pituitary, Skin, Nerve, Adipose Tissue, Salivary Gland, Esophagus, Blood Vessel	ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
